threshold,precision,recall,f1,accuracy
0.0,0.1,1.0,0.18,0.1
0.06,0.21,1.0,0.34,0.62
0.11,0.22,1.0,0.36,0.66
0.17,0.24,1.0,0.38,0.69
0.22,0.25,1.0,0.4,0.7
0.28,0.26,1.0,0.41,0.72
0.33,0.27,1.0,0.42,0.74
0.39,0.28,1.0,0.43,0.75
0.44,0.29,1.0,0.45,0.76
0.5,0.3,0.99,0.46,0.78
0.56,0.3,0.94,0.46,0.78
0.61,0.3,0.88,0.45,0.79
0.67,0.3,0.82,0.44,0.8
0.72,0.33,0.73,0.46,0.83
0.78,0.35,0.55,0.43,0.86
0.83,0.37,0.35,0.36,0.88
0.89,0.33,0.18,0.24,0.88
0.94,0.28,0.06,0.1,0.89
1.0,0.0,0.0,0.0,0.9
