threshold,precision,recall,f1,accuracy
0.0,0.1,1.0,0.18,0.1
0.06,0.26,1.0,0.41,0.73
0.11,0.29,0.99,0.45,0.77
0.17,0.31,0.98,0.47,0.79
0.22,0.32,0.93,0.48,0.8
0.28,0.34,0.89,0.49,0.82
0.33,0.36,0.83,0.5,0.84
0.39,0.35,0.73,0.47,0.84
0.44,0.36,0.65,0.46,0.85
0.5,0.34,0.49,0.4,0.86
0.56,0.35,0.38,0.37,0.87
0.61,0.32,0.25,0.28,0.88
0.67,0.36,0.19,0.25,0.89
0.72,0.34,0.11,0.17,0.89
0.78,0.31,0.07,0.11,0.9
0.83,0.29,0.04,0.08,0.9
0.89,0.27,0.02,0.04,0.9
0.94,0.29,0.01,0.03,0.9
1.0,0.0,0.0,0.0,0.9
