threshold,precision,recall,f1,accuracy
0.0,0.32,1.0,0.49,0.32
0.06,0.33,1.0,0.49,0.33
0.11,0.34,0.94,0.5,0.38
0.17,0.49,0.69,0.57,0.67
0.22,0.71,0.59,0.64,0.79
0.28,0.81,0.54,0.65,0.81
0.33,0.84,0.53,0.65,0.81
0.39,0.86,0.5,0.63,0.81
0.44,0.9,0.42,0.57,0.8
0.5,0.93,0.37,0.53,0.79
0.56,0.94,0.32,0.48,0.77
0.61,0.93,0.29,0.44,0.76
0.67,0.92,0.25,0.4,0.75
0.72,1.0,0.23,0.38,0.75
0.78,1.0,0.19,0.32,0.74
0.83,1.0,0.13,0.22,0.72
0.89,1.0,0.1,0.19,0.71
0.94,1.0,0.02,0.04,0.68
1.0,0.0,0.0,0.0,0.68
