threshold,precision,recall,f1,accuracy
0.0,0.1,1.0,0.18,0.1
0.06,0.25,1.0,0.4,0.71
0.11,0.3,0.89,0.44,0.78
0.17,0.35,0.69,0.47,0.85
0.22,0.37,0.4,0.39,0.88
0.28,0.38,0.25,0.3,0.89
0.33,0.33,0.12,0.18,0.89
0.39,0.29,0.07,0.12,0.89
0.44,0.3,0.06,0.1,0.9
0.5,0.27,0.04,0.08,0.9
0.56,0.28,0.04,0.06,0.9
0.61,0.27,0.03,0.05,0.9
0.67,0.23,0.02,0.04,0.9
0.72,0.3,0.02,0.04,0.9
0.78,0.43,0.02,0.04,0.9
0.83,0.5,0.02,0.04,0.9
0.89,0.0,0.0,0.0,0.9
0.94,0.0,0.0,0.0,0.9
1.0,0.0,0.0,0.0,0.9
